# Venerable Master Hsing Yun's One-Stroke Calligraphy
# Translation by: Ven. Miao Guang 妙光
# Source: FoguangPedia. Copyright Fo Guang Shan, reproduced with permission
一二三四	One, Two, Three, Four
一大步	One Big Step
一切皆如也	Everything is as Such
一切現成	Everything is Present
一切種智	All-Inclusive Wisdom
一心	Single-minded
一心一意	Wholeheartedly
一心一意，十全十美	Wholeheartedly, Perfect In Every Way
一心一德	Wholeheartedly, Whole Virtue
一心二門	One Mind and Two Paths
一心不二	Wholeheartedly
一心不亂	Be of One Mind
一心法界	The Dharma Realm is in One Mind
一心皈命	Singlemindedly Take Refuge
一心萬法	One Mind, Myriad Phenomena
一日千里	A Thousand Miles in One Day
一月映千江	One Moon, A Thousand Reflections
一水四見	The Same Water Is Viewed in Four Different Ways
一片心香	A Piece of the Fragrant Mind
一片心香	A Fragrant and Sincere Mind
一以貫之	Be Consistent
一生萬法	One Gives Rise to Many
一多不二	One is Many, Not Two
一帆風順	Smooth Sailing
一即一切	One is All
一刻千金	Each Moment is as Precious as Gold
一念三千	The Three Thousand Realms are within One Moment of Thought
一念不生	Not a Single Thought Arising
一念之間	A Moment of Thought
一念淨信	Pure Faith in One Thought
一花一世界，一葉一如來	One Can See a World in a Flower; One Can See a Buddha in a Leaf
一花一界，一人一佛	One Can See a World in a Flower
一花一界，一葉一如	One Can See a World in a Flower; One Can See a Buddha in a Leaf
一真法界	The Dharma Realm of One Truth
一真法界，心空萬有	The Dharma Realm of One Truth, An Empty Mind Emraces Myriad Existences
一宿覺	Overnight Enlightenment
一朝風月，萬古晴空	A Day of Wind and Moon in an Everlasting Clear Sky
一期一會	Paths Only Cross Once
一塵不染	Untainted
一滴水	A Drop of Water
九品淨華	Nine Stages of the Pure Lotus
九品淨蓮	The Ninth Stage of Lotus Incarnation
九品華	The Ninth Stage of Lotus Incarnation
了了分明	Perfectly Clear
了知因緣	Understand Causes and Conditions Thoroughly
了悟人生	Attain a Perfect Understanding of Life
了悟心源	Attain a Perfect Understanding of the Origin of Your Mind
了悟真心	Attain and Awaken the True Mind
了無分別	Absolutely No Discrimination
了然如是	Clear Understanding of Thusness
了然於心	Clear Understanding
二人為仁	Benevolence Between People
人人有望	There is Hope for Everyone
人人是佛	Everyone is Buddha
人人為我，我為人人	All For One, One For All
人天三福行	Practice the Three Merits of Humanity and the Heavens
人天眼目	Eyes of the Earth and Heaven
人心和好	Harmonious Human Minds
人心道正	Righteous Mind, Righteous Path
人外有天，天外有人	There is Always a World Beyond Us, There is Always People Above Us
人正心中	Have a Righteous Heart
人正心好，有道家昌	Righteous Character and Good Heart, A Family With the Way Will Prosper
人正心安	An Upright Character with a Mind in Peace
人正如松，心美似華	Be Upright Like the Pine Tree, Have a Mind Beautiful as the Lotus
人正慈心，縱橫古今	An Upright Personality Makes a Compassionate Heart, Travel Across the Past and Present
人生三百歲	A Life Worth Three Hundred Years
人生如畫	Life is Like a Painting
人生有望	There is Hope in Life
人在眾中，心在定中	Settle Among People, Abide in Meditative Concentration
人在眾中，心在定裏	Be a Part of the People, Abide in Meditative Concentration
人在道中	Stay On the Path of Cultivation
人好心安	A Kind Personality Reveals a Peace of Mind
人好花香	A Kind Personality Is Like a Fragrant Flower
人好家安	A Kind Heart Makes a Family Peaceful
人安家安	Peace for One Means Peace For the Entire Family
人忙心柔	Maintain a Gentle Heart Despite Being Busy
人忙心閑	Busy in Body but Free in Mind
人忙心閒	Busy in Body but Free in Mind
人成佛成	Buddhahood is Attained Upon the Attainment of a Complete Character
人我一如	Unity Between People
人我之間	Between Self and Others
人我互換	Switch Places With Others
人我共榮	Share Your Glories as One
人我和敬	Harmonious and Respectful Relations
人我和敬，共生吉祥	Harmonious and Respectful Relations Auspicious Coexistence
人我和諧	Harmony Between Self and Others
人我知心	Understanding between Self and Others
人我家慶，共生吉祥	Celebration of Families, Auspicious Coexistence
人我惜情	Cherish Your Affinity With Others
人我惜緣	Cherish Affinities Between Self and Others
人我善緣	Virtuous Conditions Between Self and Others
人我無諍	No Disputes Between Self and Others
人我結緣，如沐春風	Developing Affinities With People, Bathing in the Spring Breeze
人我對換	Switch Places With Others
人和	Interpersonal Harmony
人和心正	Be Harmonious in Character and Rightful in Thoughts
人和心安	Harmony Brings Peace to the Mind
人和事成	Harmony Accomplishes Everything
人和為貴	Harmony is Precious
人和家安	Harmony Brings Peace to the Entire Family
人和家慶	A Harmonious Family Calls for Celebration
人和家慶，心地花開	A Harmonious Family Calls For Celebration, The Flowers Blossom in the Mind
人和家慶，金玉滿堂	A Harmonious Family Calls For Celebration , A House Filled With Treasures of Gold and Jade
人和無諍	Harmonious and Disputeless
人和福來	Harmony Brings Fortune
人和觀照	Contemplate and Observe Interpersonal Harmony
人定勝天	A Person's Determination Will Conquer Nature
人格水品	Moral Integrity with a Character as Flexible as the Water
人格梅香	Personality like the Fragrance of Plum
人善心安	A Kind Personality Reveals a Peace of Mind
人貴自知	A Noble Mind Is Self-Aware
人貴知心	Understanding Is Most Valuable Among People
人貴相知	Friendship is Precious
人貴無求	A Noble Mind is One Without Desires
人貴無求	A Noble Mind Has No Desires
人間生活禪	Humanistic Life Chan
人間吉祥	Auspiciousness in the World
人間有義	Righteousness is in the World
人間有道	The World has its Ways
人間行走	Walk the Human World
人間佛教	Humanistic Buddhism
人間品味	A Taste of the World
人間情義	Sentiment and Righteousness in the World
人間淨土	Pureland on Earth
人間菩薩	Bodhisattvas in the World
人間歡喜	Joy in the Human World
人間歡喜，活出希望	Joy in the Human World, Live With Hope
人敬家和	Respect In the Family Brings Harmony
入三摩地	Enter Into Samadhi
入不二門	Enter the Gate of Non-Duality
入不退地	Enter the Ground of No Regression
入如來家	Enter the Home of the Tathagata
入如來智	Enter the Wisdom of the Tathagata
入佛知見	Entering the View of the Buddha
入佛知見 生如來家	Entering the View of the Buddha, Born in the Home of Tathagata
入佛智海	Enter into the Buddha's Ocean of Wisdom
入般若海	Enter into the Ocean of Prajna Wisdom
八大人覺	The Great Beings’ Eight Realizations
八方全面	Consider All Sides
八方成全	Help Others Be Accomplished in Every Aspect
八方來儀	Appearing from All Around
八正道	Noble Eightfold Path
八風不動	Unmoved by the Eight Winds
八風吹不動	Unmoved by the Eight Winds
八道同登	Ascend the Eight Paths Together
力能承當	Strength can Shoulder Responsibilities
十方善利	Kindness and Benefits in All Ten Directions
十全十美	Perfect In Every Way
万里无云万里天	Without Clouds the Sky is Vast
三不朽	The Three Imperishables
三心已明	Clear Attainment of the Three Minds
三世十方	Three Periods and the Ten Directions
三好人	Three Acts of Goodness Practitioner
三好人生	A Life Lived in the Three Acts of Goodness
三好人生，家有百福	Three Good Deeds Life, Auspicious and Infinite Blessings
三好人生，萬家生佛	A Life Lived in the Three Acts of Goodness Buddha is in All Families
三好人家	Three Acts of Goodness Family
三好人家，萬福吉祥	Three Acts of Goodnss Family, Auspicious and Infinite Blessings
三好之家	A Family that Follows the Three Acts of Goodness
三好四给	Three Goodnesses and Four Givings
三好好人	A Virtuous Pracitioner of the Three Acts of Goodness
三好安邦	The Three Acts of Goodness Will Bring Peace to the Nation
三好行佛	The Three Acts of Goodness: Practice Buddhism
三好家風	Three Acts of Goodness Family Tradition
三好家庭	Three Acts of Goodness Family
三好福人	A Blessed Pracitioner of the Three Acts of Goodness
三好福人	A Blessed Practitioner of the Three Acts of Goodness
三好福田	Three Acts of Goodness Field of Merits
三好福門	Three Acts of Goodness: The Gateway of Good Fortune
三有均資	Equal Attainment of the Three Kinds of Existence
三法印	Three Dharma Seals
三思而行	Think Thrice Before Acting
三界星華	Splendid Stars Within the Three Realms
三界為心	The Three Realms Are All a State of Mind
三鳥飛空	Three Birds Flying in the Sky
三福行	Practice the Three Merits
三摩地	Samadhi	Venerable
三學增上	The Three Learnings Helps One Advance
三學增上，五和興邦	The Three Learnings Helps One Advance, The Five Harmonies Helps a Nation Thrive
三寶放光	The Radiating Triple Gem
三覺圓	Perfection of Three Awakenings
上前有路	There's a Path Ahead
上善若水	The Highest Form of Benevolence is Like Water
上善若水，厚德載物	The Highest Form of Benevolence is Like Water Profound Virtue is the Support for Everything
千山萬水	Crossing Mountains and Rivers
千手千眼	Thousand Hands and Thousand Eyes
千江月現	The Moon’s Reflection in a Thousand Rivers
千江有水千江月	The Moon is Reflected in a Thousand Rivers
千江映月	The Moon is Reflected in a Thousand Rivers
千秋萬世	Thousands of Years and Hundreds of Generation
千喜萬福	Bountiful Joy and Bliss
千載一時	A Rare Moment in a Thousand Years
口出妙香	Speak Words of Fragrance
口說好話，心存好念	Say Good Words, Think Good Thoughts
大人大忍	The Greater Your Tolerance, the Greater Your Mind Becomes
大人大量	Great Person, Great Strength
大千行腳	Cover the Great World with One’s Footsteps
大仁大忍	Great Benevolence and Patience
大仁大勇	Great Benevolence and Courage
大仁大義	Great Benevolence and Righteousness
大公無私	Impartiality and Unselfishness
大心能容	Capacious and Tolerant Mind
大巧若拙	The Wise Appears Slow-witted
大光明藏	Treasure of Great Light
大吉大利	Great Fortune and Great Prosperity
大地一人	I am the Great Earth
大地生春	The Return of Spring
大地生機	Earth's Vitality
大地吉祥	Auspiciousness for the Great Earth
大地回春	Spring Has Returned to Earth
大地如母	The Earth is Like a Mother
大地迎春	The Earth Welcomes Spring
大地春曉	The Arrival of Spring on Earth
大肚包容	Be Tolerant
大勇無爭	The Courageous Do Not Dispute
大勇無諍	The Truly Brave Does Not Fight
大是大非	Know Right and Wrong on Matters of Importance
大家吉祥	Auspicious Blessings to All
大海量	Be an Ocean of Magnanimity
大悲心	Great Compassion
大悲為心	Great Compassion is the Heart
大智若愚	The Wise Appears Slow-witted
大圓滿覺	Perfectly Awakened One
大慈大悲	Great Loving Kindness and Great Compassion
大慈為心	Great Compassion is the Mind
大道中流	The Truth Lies in the Center of All
大道中流，一以貫之	The Truth Lies in the Center of All Be Consistent
大道向前	Advance on the Great Path
大道有門	There is a Gateway to the Great Path
大道至簡	The greatest truths are the simplest
大道至簡	The Great Way is Simple
大道門開	The Gateway is Open to the Great Path
大道流通	Opening of the Great Way
大道為公	The Great Path is Impartial
大道貫之	Put the Great Path into Practice
大道無私	The Selflessness of the Great Path
大徹大悟	Thoroughly Awakened
大機大用	The Greater the Capability the Greater the Accomplishment
大隱於市	Great Reclusion Within the City
大覺我師	The Great Awakened One is My Teacher
子德芬芳	Prosperous Future Generations
山水人生	The Landscape of Life
山水仁智	Mountain and Water, Kindness and Knowledge
山水知音	The Mountains and Waters are Your Friend
山水風光	The Beautiful Scenery of Mountains and Waters
山水茶禪	Mountain,Water, and Tea Chan
山水情懷	The Heart of Mountain and Water
山水禪心	The Chan Mind Found within the Mountain and Water
山色無非清淨身	The Views of the Mountains are None But the Pure Body [of Buddha]
山谷幽然	Tranquil Valley
山谷幽蘭	Orchids in the Mountain Valleys
山明水秀	Beautiful Mountains and Clear Water
山河同在	Coexist With the Mountains and Rivers
山海慧心	Wisdom Like the Mountain and Ocean
山高水長	The Highest Mountains and Everflowing Water
山高水長	The Highest Mountains and Everflowing Water
山高豈礙白雲飛	No Matter How High,Mountains Never Obstruct Clouds from Flying Over
己立立人	Establish Oneself and Help Others
己是貴人	You are the One who Helps Yourself to Succeed
不二心	Singlemindedly
不二念	Non-Dualistic Thoughts
不二法門	The Dharma Gate of Non-Duality
不二門	The Gate of Non-Duality
不用心機	Do Not Be Scheming
不忘初心	Never Forget One’s Initial Aspirations
不忘初心，全力以赴	Never Forget One’s Initial Aspirations Give Your Best Effort
不空過	Do Not Pass Time in Vain
不退心	A Mind of No Regression
不退菩薩	A Bodhisattva Who Does Not Regress
不動心	The Unmoving Mind
不動心也	The Unmoving Mind
不動心念	Unmoving Mind and Thoughts
不動如山	Be As Steady As the Mountains
不著空有	Remain Unattached to Either Emptiness or Form
不增不減	Neither Increase Nor Decrease
不請之友	An Uninvited Helper
不變隨緣	Remain Unchanged Within the Flow of Conditions
中心美事	Beautiful Matters Within the Mind
中流砥柱	The Foundation Pillar of Society
中道	Middle Way
中道生活	Living the Middle Way
中道美心	A Beautiful Mind Is One That Follows the Middle Path
云何應住	In What Should One Abide?
互惠	Mutual Benefit
五指為大	The Greatness of Five Fingers
仁人之心	A Mind of Benevolence
仁人志士	A Benevolent Person and Aspiring Warrior
仁人義勇	A Benevolent, Righteous, and Brave One
仁山智水	Benevolent as Mountain; Wise as Water
仁山智水，天地我心	Mountain of Benevolence and Water of Wisdom , Heaven and Earth Are All In My Heart
仁山智海	Mountain of Benevolence and Ocean of Wisdom
仁心仁政	Benevolence in Governing
仁心仁德	Benevolent and Virtuous
仁心仁德，天下一家	Benevolence and Virtue; One World, One Family
仁心正氣	A Benevolent Mind with Integrity
仁心正義	Benevolent Heart, Rightful Character
仁心正道	A Benevolent Mind Leads to the Right Path
仁心有義	A Benevolent Heart is Also a Righteous One
仁心明道	Benenovlent Mind, Clarity of the Way
仁心厚道	Be Benevolent and Honest
仁心益世	A Benevolent Mind Benefits the World
仁心情義	Benevolent Heart, Righteousness
仁心義行	A Benevolent Mind and A Righteous Act
仁心道正	A Benevolent Mind Leads to the Right Way
仁心道念	A Benevolent Mind with Persistence in the Path
仁心道明	A Benevolent Mind Is Clear With the Path
仁至義盡	Do All That You Can to Help Others
仁孝傳家	Let Benevolence and Dutifulness Be the Family Heritage
仁者不憂	The Benevolent is Free From Worries
仁者之家	The Benevolent’s Home
仁者安忍	The Benevolent Is Peaceful and Patient
仁者有力	The Benevolent is Strong
仁者為勇	True Courage is Found in the Heart of Benevolence
仁者氣度	The Benevolent Spirit
仁者無畏	The Benevolent is Fearless
仁者無畏，慈心無敵	The Benevolent is Fearless, The Compassionate Sees No Foes
仁者無憂	The Benevolent is Free From Worries
仁者無敵	The Benevolent Has No Enemies
仁者慈心	The Benevolent Has Compassionate Mind
仁者壽	Benevolence Brings Longevity
仁厚	Benevolence and Honesty
仁厚吉祥	Benevolence and Honesty are Auspicious Blessings
仁厚美心	Benevolence and Kindness Beautify the Heart
仁政仁心	Benevolent Government, Benevolent Mind
仁政禪心	Govern With Benevolence and a Mind of Chan
仁風十方	The Breeze of Benevolence to the Ten Directions
